"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"775232918709014528","","","2016-09-12 07:21:45 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","I believe that change starts with me! #ShuruaatHoonMain #GlobalCitizenIndia","","","",""
"773971242089000960","773969537607663616","1647750960","2016-09-08 19:48:18 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@_Agathist And yes. Not trying to generalize!","","","",""
"773971033611051008","773969537607663616","1647750960","2016-09-08 19:47:28 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@_Agathist There might be an intersection. But most cases of doctors being hit and of the greedy doctors involve diff. classes (financialy)!","","","",""
"773786657388507136","","","2016-09-08 07:34:50 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","People who beat doctors and talk shit to them should be lawfully denied any medical services from that point on!","","","",""
"772676483043196928","772673602697236480","1655514888","2016-09-05 06:03:23 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@kimuchni_w485 @HolaniPriya @stfuperman @IngeniousRetard Padhega India tabhi to badhega India.😂","","","",""
"772505739134799872","","","2016-09-04 18:44:55 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Wishing a very happy birthday to the enigma named @IngeniousRetard !! Still going strong.","","","",""
"772388349206200320","","","2016-09-04 10:58:27 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Waiting for someone whose favorite F.R.I.E.N.D.S character is Gunther!😂😂","","","",""
"772062498702790656","","","2016-09-03 13:23:38 +0000","<a href=""https://www.zomato.com"" rel=""nofollow"">Zomato</a>","I reviewed Colaba Social and rated it 5/5 on @ZomatoIN #LoveFood https://t.co/0FNXpsTEhS","","","","http://www.zoma.to/deAGEX"
"771973131577720832","","","2016-09-03 07:28:31 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","All those websites trolling @IngeniousRetard , note that he's the one who can sleep 24 hours a day without any stress! Let that sink in.😂","","","",""
"769778231901687808","","","2016-08-28 06:06:46 +0000","<a href=""https://www.zomato.com"" rel=""nofollow"">Zomato</a>","I reviewed Jughead's and rated it 4/5 on @ZomatoIN #LoveFood https://t.co/PAi8u8irGS","","","","http://www.zoma.to/KdlpBX"
"769079968798281728","","","2016-08-26 07:52:08 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Birthday wishes for the multi talented @MayuriJadhav441 . Your achievements make the word achievement feel ashamed of itself!🙌🙌","","","",""
"769079621576978432","","","2016-08-26 07:50:45 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","When your article reaches 5k hits but you still couldn't reach first base!😂😂😂","","","",""
"768442647174275072","768441342988955648","405456587","2016-08-24 13:39:38 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@IngeniousRetard 🙌🙌🙌","","","",""
"767335848245235712","","","2016-08-21 12:21:37 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","https://t.co/ZOoefDw0ob
This puts a lot in perspective! Pristine thoughts of @IngeniousRetard","","","","http://www.skepticalthoughts.net/2016/08/the-irony-of-war-and-peace.html"
"767119279548428288","767009542756413440","405456587","2016-08-20 22:01:03 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@IngeniousRetard Radiohead💓","","","",""
"767119118503972864","","120816671","2016-08-20 22:00:24 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@houseofmarley headphones make Radiohead's creep sound like a happy song and Bohemian Rhapsody streams live if you close your eyes!😍😍🙌🙌🍁","","","",""
"766927674233139200","","","2016-08-20 09:19:41 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","People who dream of sleeping in King Size beds are the real threats to democracy!","","","",""
"766329129688064000","766328428026933248","405456587","2016-08-18 17:41:16 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@IngeniousRetard such shame on the single community. @28Akotian","","","",""
"766327708062285824","766327240225394688","2242015412","2016-08-18 17:35:37 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@28Akotian Because #hoesaintloyal bro!","","","",""
"766326937308585984","766326086095495170","2242015412","2016-08-18 17:32:34 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@28Akotian choti baato se hi aadmi 310 se 326 taak jump martai bhai! Plus itne saal single rehneka frustration.😂😂😂","","","",""
